Course_ID,Course Name,Duration,Track,Difficulty Level,Course Rating,Course URL,Course Description,Skills,Done
11,Palo Alto Networks Cybersecurity Essentials II,08:00:00,Cybersecurity,Advanced,4.6,https://youtu.be/J7jjl5zOvyM?si=GNhIzpi6uqweLHQK,"Palo Alto Networks Cybersecurity Essentials II  Course Description:  Essentials II provides the student with a full understanding of the fundamental tenants of cybersecurity and covers the general security concepts involved in maintaining a secure network computing environment. Students will fully learn the nature and scope of today�s cybersecurity challenges, strategies for network defense, as well as detailed information about next-generation cybersecurity solutions. Students will also deploy a variety of security methodologies as well as technologies and concepts used for implementing a secure network environment.   Learning Objectives:  Upon completion of this course, students will be able to:  �\tDemonstrate ability to assess and harden endpoints based on security policies. �\tDescribe uses of Advanced malware research and analysis to provide enhanced protection for enterprise networks.  �\tExamine mobile and cloud-based connection technologies.",Computer Security Incident Management  indicator of compromise  malware research  Customer Support  process  malware  enterprise private network  security  evaluation  analysis information-technology security,FALSE
12,Introduction to the Internet of Things and Embedded Systems,00:06:00,IoT / Embedded Systems,Beginner,4.6,https://youtu.be/6mBO2vqLv38?si=J0mQFOjk3mq-QlH2,"The explosive growth of the �Internet of Things� is changing our world and the rapid drop in price for typical IoT components is allowing people to innovate new designs and products at home. In this first class in the specialization you will learn the importance of IoT in society, the current components of typical IoT devices and trends for the future. IoT design considerations, constraints and interfacing between the physical world and your device will also be covered. You will also learn how to make design trade-offs between hardware and software. We'll also cover key components of networking to ensure that students understand how to connect their device to the Internet. Please note that this course does not include discussion forums.  Upon completing this course, you will be able to: 1.       Define the term �Internet of Things� 2.       State the technological trends which have led to IoT 3.       Describe the impact of IoT on society 4.       Define what an embedded system is in terms of its interface 5.       Enumerate and describe the components of an embedded system 6.       Describe the interactions of embedded systems with the physical world 7.       Name the core hardware components most commonly used in IoT devices 8.       Describe the interaction between software and hardware in an IoT device 9.       Describe the role of an operating system to support software in an IoT device 10.     Explain the use of networking and basic networking hardware 11.     Describe the structure of the Internet 12.     Describe the meaning of a �network protocol� 13.     Explain MANETs and their relation to IoT",internet protocol  microcontroller  internet  Operating Systems  internet of things  Wireshark  communications protocol  Embedded System Design  arduino  Systems Design computer-science software-development,FALSE
13,Complex Retrieval Queries in MySQL Workbench,00:50:00,Data Analysis / Database Management,Beginner,4.5,https://www.youtube.com/watch?v=FNYdBLwZ6cE,"In this intermediate-level course you will use MySQL Workbench to expand your basic SQL query-writing skills with more complex examples and activities. In hands-on activities in MySQL Workbench, you will write and execute SQL queries that retrieve data from multiple tables. In addition, you will generate queries that summarize data and perform calculations. Nested queries and SQL scripting rounds out the course content. While the course concentrates on query writing, you also get a taste of the problem-solving and data analysis efforts required for complex query construction and query results verification.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",relational database  internet  rounding  mysql  analysis  associative entity  Data Analysis  database model  nest  interpretation information-technology data-management,FALSE
14,AWS Elastic Beanstalk:Deploy a Python(Flask) Web Application,00:22:00,Cloud Computing / Backend Development,Beginner,5,https://youtu.be/4tDjVFbi31o?si=iJwXD-nfFmPhrUjA,"In this 1-hour long project-based course, you will learn how to create your Python web application & launch it on your own server using AWS Elastic Beanstalk technology. You will be using the Flask python framework to create your web application & AWS desktop management console to deploy the web application to the AWS servers. Additionally, you will learn more about reading the server logs, how to switch between different versions of your web application & also, monitoring your AWS servers using Elastic Beanstalk Desktop Management Console.  Note: To avoid distraction for set up during the course, we would recommend that you create an Amazon AWS account beforehand. Amazon AWS provides a free tier option for 1 year & the course materials will utilize services that fall under the free tier option.",Python Programming  server log  c dynamic memory allocation  aws elastic beanstalk  web  Type I And Type Ii Errors  file shortcut  .properties  project  web application information-technology cloud-computing,FALSE
15,Statistical Data Visualization with Seaborn,00:09:00,Data Visualization / Data Science,Beginner,4.5,https://youtu.be/vg8oM0AvBOU?si=bJr3sB3Xb4uieWVk,"Welcome to this project-based course on Statistical Data Visualization with Seaborn. Producing visualizations is an important first step in exploring and analyzing real-world data sets. As such, visualization is an indispensable method in any data scientist's toolbox. It is also a powerful tool to identify problems in analyses and for illustrating results. In this project, we will employ the statistical data visualization library, Seaborn, to discover and explore the relationships in the Breast Cancer Wisconsin (Diagnostic) data set. We will use the results from our exploratory data analysis (EDA) in the previous project, Breast Cancer Diagnosis � Exploratory Data Analysis to: drop correlated features, implement feature selection and feature extraction methods including feature selection with correlation, univariate feature selection, recursive feature elimination, principal component analysis (PCA) and tree based feature selection methods. Lastly, we will build a boosted decision tree classifier with XGBoost to classify tumors as either malignant or benign.   This course runs on Coursera's hands-on project platform called Rhyme. On Rhyme, you do projects in a hands-on manner in your browser. You will get instant access to pre-configured cloud desktops containing all of the software and data you need for the project. Everything is already set up directly in your internet browser so you can just focus on learning. For this project, you�ll get instant access to a cloud desktop with Python, Jupyter, and scikit-learn pre-installed.  Notes: -  You will be able to access the cloud desktop 5 times. However, you will be able to access instructions videos as many times as you want. - This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Feature Selection  Data Analysis  analysis  Data Visualization  Kaggle  visualization library  General Statistics  project  project mine  Exploratory Data Analysis data-science machine-learning,FALSE
16,Hosting a Static Website (HTML/CSS/Javascript) in AWS S3,00:05:00,Web Development / Cloud Computing,Advanced,4.5,https://youtu.be/-l83oqcaTHg?si=ml8LVSyoqWztk5Di,"In this one hour project, you will learn how to use Amazon Web Services S3 storage service for hosting a static website (HTML/CSS/Javascript). Many companies and individuals today need a website and most of those don't require complex databases or backends. Amazon Web Services provides a Simple Storage Service S3 Free Tier that can be also used to host a static website with no servers and no complexity.   Many professionals don't know that it is possible to use AWS Simple Storage Service, S3, not only to store objects but also to host a completely static website made in HTML/CSS and Javascript and take advantage of all scalability and availability AWS offers.  Once you're done with this project, you will be able to deploy a static website in any AWS region you want with just a few steps and without huge tech experience.  Note: For this project, you will need an AWS account.",pageable memory  web hosting service  front and back ends  entry point  project mine  download  project  upload  Databases  Risk information-technology cloud-computing,FALSE
17,Deploy Models with TensorFlow Serving and Flask,00:07:00,Machine Learning / Data Science,Beginner,4.5,https://youtu.be/1d4BzR_7Nbc?si=DIeuCBtoNIokuG27,"In this 2-hour long project-based course, you will learn how to deploy TensorFlow models using TensorFlow Serving and Docker, and you will create a simple web application with Flask which will serve as an interface to get predictions from the served TensorFlow model.  This course runs on Coursera's hands-on project platform called Rhyme. On Rhyme, you do projects in a hands-on manner in your browser. You will get instant access to pre-configured cloud desktops containing all of the software and data you need for the project. Everything is already set up directly in your Internet browser so you can just focus on learning. For this project, you�ll get instant access to a cloud desktop with (e.g. Python, Jupyter, and Tensorflow) pre-installed.  Prerequisites: In order to be successful in this project, you should be familiar with Python, TensorFlow, Flask, and HTML.  Notes: -  You will be able to access the cloud desktop 5 times. However, you will be able to access instructions videos as many times as you want. - This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Tensorflow  web application  euler's totient function  Machine Learning  internet  flask  web  inference  Web Development  interfaces data-science machine-learning,FALSE
18,Encryption And Decryption Using C++,00:38:00,Cybersecurity,Beginner,5,https://youtu.be/GNzeSTZjziI?si=ABCUEMcUmls2ZIqu,"In this 2-hour long project-based course, you will  (learn basics of cryptography,  build basic encryption application).  we will learn basics of encryption and decryption techniques and gain basic related cryptography  knowledge and by the end of this project you will be able to create an encryption application.    Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",project  Cryptography  project mine  Algorithms  linux security modules  form-based authentication  cipher  perl software  encryption  i-deas computer-science software-development,FALSE
19,Command Line in Linux,11:20:00,Software Development,Beginner,4.5,https://www.youtube.com/live/bz0ZCUv5rYo?si=HOU47jLMcnlRauMJ,"Linux is a popular operating system that is based on the Unix operating system. It has many distributions which have different interfaces for installing software, different user interfaces, and so on. One thing all of the �distros� have in common is that they all have a command line interface, or terminal. In fact, sometimes there is no user interface except the terminal itself. A Linux server running a web application on AWS, for example, may only contain the software required to run the application, and no GUI �window� system at all. It is crucial to learn the Linux command line if you are going to be a productive Linux user and/or administer a Linux server.  In this course, you will use Linux commands to navigate Linux directories, search for files, search for patterns, create files and directories, and remove files and directories.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",unix  Operating Systems  Computer Networking  embedded linux  windowing systems  command-line interface  interfaces  java annotation  command.com  linux console information-technology support-and-operations,FALSE
20,Design and Analyze Secure Networked Systems,00:08:00,Network / Cyper Security,Advanced,3.4,https://youtu.be/hX3pEdu2lRg?si=80_j7HB8cVSc92FR,"In this MOOC, we will learn the basic cyber security concepts, how to identify vulnerabilities/threat in a network system. We will apply CIA basic security services in the triage of recent cyberattack incidents, such as OPM data breach.   We will learn the risk management framework for analyzing the risks in a network system, and apply the basic security design principles to protect the data and secure computer systems. We will examine the trustworthiness of programs and data installed in our systems and show the proper way to verify their integrity and authenticity. We will apply principle of least privileges for controlling the shared access given to different groups of users and system processes. On Amazon Cloud instances, we will use GnuPG software to generate public/private key pair for signing/verifying documents and open source software, and for encrypting documents. We will learn how to publish software, the related signature and release key on  web server and publish public key to PGP key server for others to retrieve. We will learn Public Key Infrastructure (PKI) and  Linux utility to serve as a CA for an organization, learn how to sign certificate request for clients or servers in secure email and web applications.",cyber resilience  digital signature  risk management framework  security  Network Security  public-key cryptography  web  web server  principle of least privilege  data breaches computer-science computer-security-and-networks,FALSE
21,Database Design and Diagramming in Dia,00:20:00,Database Management / Data Engineering,Beginner,4.6,https://youtu.be/wMgirP7z4k8?si=hosP1lCNjZ9zJLX3,"In this course you will be introduced to the process of designing a database. The old saying about a picture being worth a thousand words rings true in the database design process. Database designers document their designs using diagrams. To document your basic design, you will use a diagramming tool called �Dia�. You will review user requirements to identify the categories of data that will need to be included in the database, and then fill out those categories with details. You will also determine how the categories are logically related. Using Dia, you will document your logical database design using a standard database design diagram called an Entity Relationship Diagram. Generating the ERD is an important step in the database design process.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",data retrieval  Databases  requirements analysis  relational database  table (database)  user requirements document  entity relationship model  Database Design  process  database management systems information-technology data-management,FALSE
22,Game Theory with Python,00:25:00,Data Science,Beginner,4.2,https://www.youtube.com/watch?v=3bFCDg2ApP4&list=PLnC5h3PY-znw_SyhvDO3-yH_EWB5z0w_8,"In this 2-hour long project-based course, you will learn the game theoretic concepts of Two player Static and Dynamic Games, Pure and Mixed strategy Nash Equilibria for static games (illustrations with unique and multiple solutions), Example of Axelrod tournament. You will be building two player Nash games and analyze them using Python packages Nashpy and Axelrod, especially built for game theoretic analyses. Also, you will gain the understanding of computational mechanisms related to the aforementioned concepts.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",math and logic  mathematical model  physics  Python Programming  game design  models of computation  Game Theory  logic  Strategy  Computer Programming math-and-logic math-and-logic,FALSE
23,Introduction to Probability and Data with R,00:17:00,Data Science / Data analysis,Advanced,4.6,https://youtu.be/SkidyDQuupA?si=gqGJfIlqYcJZ-2SQ,"This course introduces you to sampling and exploring data, as well as basic probability theory and Bayes' rule. You will examine various types of sampling methods, and discuss how such methods can impact the scope of inference. A variety of exploratory data analysis techniques will be covered, including numeric summary statistics and basic data visualization. You will be guided through installing and using R and RStudio (free statistical software), and will use this software for lab exercises and a final project. The concepts and techniques in this course will serve as building blocks for the inference and modeling courses in the Specialization.",Probability & Statistics  Data Analysis  General Statistics  rstudio  analysis  R Programming  Computer Programming  Exploratory Data Analysis  probability  Summary Statistics data-science data-analysis,FALSE
24,Software Design as an Abstraction,00:06:00,Computer Science / Software Development,Advanced,4.8,https://youtu.be/OF55HZPE7lQ?si=czYNihX4ClH530U4,"The design step in developing software has some unique characteristics.  First of all, it�s the only step where drawing pictures of things is the norm.  Why is that?  What do pictures do that other representations cannot do?  Pictures have varying levels of detail; pictures have context.  Pictures�paint a picture.  Why are these things important?  In this course, too, we begin looking at other disciplines (building architecture is a favorite one) for lessons on design.",abstraction  user interface design  front and back ends  User Experience  lambda calculus  Database Design  Database Servers  design pattern  software development process  software design computer-science software-development,FALSE
25,State Estimation and Localization for Self-Driving Cars,00:06:00,Robotics,Beginner,4.6,https://www.youtube.com/watch?v=VeQWoGqXIfI&pp=ygU3U3RhdGUgRXN0aW1hdGlvbiBhbmQgTG9jYWxpemF0aW9uIGZvciBTZWxmLURyaXZpbmcgQ2Fycw%3D%3D,"Welcome to State Estimation and Localization for Self-Driving Cars, the second course in University of Toronto�s Self-Driving Cars Specialization. We recommend you take the first course in the Specialization prior to taking this course.   This course will introduce you to the different sensors and how we can use them for state estimation and localization in a self-driving car. By the end of this course, you will be able to: - Understand the key methods for parameter and state estimation used for autonomous driving, such as the method of least-squares - Develop a model for typical vehicle localization sensors, including GPS and IMUs - Apply extended and unscented Kalman Filters to a vehicle state estimation problem - Understand LIDAR scan matching and the Iterative Closest Point algorithm  - Apply these tools to fuse multiple sensor streams into a single state estimate for a self-driving car   For the final project in this course, you will implement the Error-State Extended Kalman Filter (ES-EKF) to localize a vehicle using data from the CARLA simulator.   This is an Advanced course, intended for learners with a background in mechanical engineering, computer and electrical engineering, or robotics. To succeed in this course, you should have programming experience in Python 3.0, familiarity with Linear Algebra (matrices, vectors, matrix multiplication, rank, Eigenvalues and vectors and inverses), Statistics (Gaussian probability distributions), Calculus and Physics (forces, moments, inertia, Newton's Laws).",Estimation  Algorithms  Kalman Filter  extended kalman filter  Computer Programming  least squares  jacobian matrix and determinant  Python Programming  maximum likelihood estimation  point cloud computer-science software-development,FALSE
26,Cloud Computing Basics (Cloud 101),00:25:00,Computer Science / Cloud Computing / Data Engineering,Intermediate,4.5,https://youtu.be/RWgW-CgdIk0?si=zsOYIYvJtiP8-Df3,"Welcome to Cloud Computing Basics (Cloud 101).   Over the next few weeks, we will discuss the basics of Cloud computing: what it is, what it supports, and how it is delivered. We will delve into storage services, Cloud economics, levels of managed infrastructure, and Azure services. We will also explore different deployment models of Cloud computing, as well as several hosting scenarios. Last but not least, we will compare some of the cloud platforms and discuss the future of cloud computing.",web  Google Cloud Platform  Cloud Platforms  Cloud Applications  web service  internet of things  Software As A Service  Microsoft Azure  Cloud Computing  Cloud Storage information-technology cloud-computing,FALSE
27,Analyze Text Data with Yellowbrick,10:00:00,Data Analysis / Data Visualization ,Beginner,4.5,https://youtu.be/D5y8R9kGR9A?list=PLzUJUtTJcj8RrnydyXowhLh0n7gf-2A58,"Welcome to this project-based course on Analyzing Text Data with Yellowbrick. Tasks such as assessing document similarity, topic modelling and other text mining endeavors are predicated on the notion of ""closeness"" or ""similarity"" between documents. In this course, we define various distance metrics (e.g. Euclidean, Hamming, Cosine, Manhattan, etc) and understand their merits and shortcomings as they relate to document similarity. We will apply these metrics on documents within a specific corpus and visualize our results. By the end of this course, you will be able to confidently use visual diagnostic tools from Yellowbrick to steer your machine learning workflow, vectorize text data using TF-IDF, and cluster documents using embedding techniques and appropriate metrics.  This course runs on Coursera's hands-on project platform called Rhyme. On Rhyme, you do projects in a hands-on manner in your browser. You will get instant access to pre-configured cloud desktops containing all of the software and data you need for the project. Everything is already set up directly in your internet browser so you can just focus on learning. For this project, you�ll get instant access to a cloud desktop with Python, Jupyter, Yellowbrick, and scikit-learn pre-installed.  Notes: -  You will be able to access the cloud desktop 5 times. However, you will be able to access instructions videos as many times as you want. - This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",text corpus  Data Analysis  Machine Learning  text mining  documents  Topic Model  Data Mining  data clustering algorithms  Python Programming  project data-science machine-learning,FALSE
28,Class Creation in Object Oriented Python,00:11:00,Computer Science,Beginner,4.5,https://youtu.be/wfcWRAxRVBA?si=-nuBWsucdZjyZe_6,"Python is an Object Oriented Language. Object Oriented languages allow the developer to think in terms of real-world objects, such as people, cars, and animals for example. In the procedural realm, developers think in terms of functions (or procedures) and the data those functions act on. By using objects, the data can be combined with functionality � a person has eye color, an animal has behavior etc. This can lead to programs that are easier to understand, maintain, and reuse.  In this course, you will create a Python application in which you will create a class definition, create a constructor for the class, create object instances of the class, and sort a list of objects created from a file.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",objective-c  crt0  c++  ordered pair  Python Programming  sorting  Computer Programming  class (computer programming)  euler's totient function  object-oriented programming computer-science software-development,FALSE
29,Introduction to TensorFlow,01:15:00,Data Science / Machine Learning,Advanced,4.3,https://youtu.be/E8n_k6HNAgs?si=dL_3SeQp6Ob8kWZ4,"This course is focused on using the flexibility and �ease  of use� of TensorFlow 2.x and Keras to build, train, and deploy machine learning models.  You will learn about the TensorFlow 2.x API hierarchy and will get to know the main components of TensorFlow through hands-on exercises.  We will introduce you to working with datasets and feature columns. You will learn how to design and build a TensorFlow 2.x input data pipeline.  You will get hands-on practice loading csv data, numPy arrays, text data, and images using tf.Data.Dataset. You will also get hands-on practice creating numeric, categorical, bucketized, and hashed feature columns.  We will introduce you to the Keras Sequential API and the Keras Functional API to show you how to create deep learning models.  We�ll talk about activation functions, loss, and optimization.  Our Jupyter Notebooks hands-on labs offer you the opportunity to build basic linear regression, basic logistic regression, and Advanced logistic regression machine learning models.  You will learn how to train, deploy, and productionalize machine learning models at scale with Cloud AI Platform.",Cloud Platforms  Estimator  application programming interfaces  Cloud Computing  modeling  Google Cloud Platform  Tensorflow  Training  Machine Learning  Human Learning data-science machine-learning,FALSE
30,Practical Machine Learning,10:00:00,Machine Learning / Data Science,Beginner,4.4,https://www.youtube.com/watch?v=OGxgnH8y2NM&list=PLQVvvaa0QuDfKTOs3Keq_kaG2P55YRn5v,"One of the most common tasks performed by data scientists and data analysts are prediction and machine learning. This course will cover the basic components of building and applying prediction functions with an emphasis on practical applications. The course will provide basic grounding in concepts such as training and tests sets, overfitting, and error rates. The course will also introduce a range of model based and algorithmic machine learning methods including regression, classification trees, Naive Bayes, and random forests. The course will cover the complete process of building prediction functions including data collection, feature creation, algorithms, and evaluation.",Machine Learning Algorithms  Human Learning  Random Forest  modeling  randomness  decision tree  forest  Machine Learning  predictive modelling  Algorithms data-science machine-learning,FALSE
